#,NAME,FOLLOWERS,N_FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,VIEWS
1,Die Antwoord @UC6DicDItkLQ7N4ag1JS5mqg,3.3,3300000,1.30%,South Africa,,978,978000
2,Noel Deyzel @UCMp-0bU-PA7BNNR-zIvEydA,2.9,2900000,-,South Africa,,864,864000
3,Openmic Productions @UCzMzPGGV pjZAJy1aOAUieA,2.4,2400000,-,South Africa,Mar eting and Advertising Music,732,732000
4,The Supa Strikas - Kids Soccer Cartoon @UCdtojT_ZwTRlZThoBSMVhoQ,2,2000000,-,South Africa,,597,597000
5,Boomerang Africa @UCgGq2xHDvUHSUzs7VOIdKKw,2,2000000,-,South Africa,,594,594000
6,Cartoon Networ  Africa @UCYXAcMNZRdY R-v V3OO1DQ,1.9,1900000,-,South Africa,Travel Video Gaming,555,555000
7,SABC News @UC8yH-uI81UUtEMDsowQyx1g,1.6,1600000,-,South Africa,,480,480000
8,Pastor Alph Lu au @UCmBMGitwFg3dDFNtOSQT1JQ,1.5,1500000,-,South Africa,,435,435000
9,Hayls World @haylsworld,1.3,1300000,0.40%,South Africa,,393,393000
10,Wian @UC3xgevNpGmAgWpdjtTXR20w,1.2,1200000,-,South Africa,,360,360000
11,DJ Arch Jnr @UCQ1hYup0TxMjuGInZF ftzA,1.2,1200000,-,South Africa,,345,345000
12,The  iffness @UCFy846Qd s3LbLgBpSqPcdg,1.2,1200000,2.70%,South Africa,,345,345000
13,michael jamison @UC3SIm-UNl4Ou381-PY zU8w,1.1,1100000,-,South Africa,Pets,342,342000
14,OMFilms @UCEZ6QFA7F37E--lqew7wbAQ,1.1,1100000,-,South Africa,,333,333000
15,Nasty_C @UC01ompoZ0RMCuWP2ZODqzbg,947,947000,0.40%,South Africa,,284.1,284100
16,Spirittunez @UCVTDsWA7ItkDj9vt9Kt_oCw,942,942000,-,South Africa,,282.6,282600
17,MzansiMagicOfficial @UCSEibSG6dlUJvkC40IpNMRQ,931,931000,-,South Africa,,279.3,279300
18,DLM Men's Lifestyle @UC07qAfGd_Tqu8xRG6yPtw3A,863,863000,-,South Africa,,258.9,258900
19,Steegs Vlogs @UCrwNyJioqAkfjQgqpQE-VtA,863,863000,-,South Africa,,258.9,258900
20,Zee World Africa @UCdxk_T-82-s_J4ChPpw2sdg,829,829000,-,South Africa,,248.7,248700
21,MDM Sketch Comedy @UCedZvSQVma70F1O67NOuYZw,803,803000,-,South Africa,,240.9,240900
22,Zee TV Africa @UC5QOxgivpL-StHjEaEu92gg,802,802000,-,South Africa,,240.6,240600
23,Dan Mace @UCZfPrUL62TN74Mmrn-O_pZQ,795,795000,0.40%,South Africa,,238.5,238500
24,MacG @UC7BXdXFxVgMPKmBeDgx2QrQ,770,770000,1.30%,South Africa,,231,231000
25,Lasizwe Dambuza @UCVbVao4QtBLarbX01DX9YRg,763,763000,0.30%,South Africa,,228.9,228900
26,Ambitiouz Entertainment @UCniUHTOy5nONQG1M4sSIHQg,736,736000,0.20%,South Africa,,220.8,220800
27,Mziiki @UCgyz0qRzl96ydHBxkPD1pBw,715,715000,-,South Africa,,214.5,214500
28,Caitlin De Ville @UCo5K4hzIXcf2qhFAQpwUdxg,703,703000,0.20%,South Africa,,210.9,210900
29,MajorLeagueDjz @UCazIPE4aYxzcAjaBoSspLHw,687,687000,0.40%,South Africa,,206.1,206100
30,Zeus Studios @UC88vhhMsuOtE7hk2Ys_YEuA,658,658000,-,South Africa,,197.4,197400
31,Prophet Shepherd Bushiri @UCcbBHQXuSkw8Me1vnY-u4bw,637,637000,-,South Africa,,191.1,191100
32,Cricket South Africa @UCzevPCfP7MtRqOB0ZkU5cwg,578,578000,-,South Africa,,173.4,173400
33,Make Afrika Great @UCKLSjhp6XZUEYDT1DMcrj8w,540,540000,-,South Africa,,162,162000
34,LEON GUMEDE @UCIYIqQy8QwD5MEOachFjr6A,518,518000,-,South Africa,,155.4,155400
35,Lloyiso @UC_jBXeWtwdqV14jldwAgsWg,510,510000,-,South Africa,,153,153000
36,Evangelist Gabriel Fernandes @UCTnXL2SKHAo0fHVW1WSaqfw,493,493000,0.30%,South Africa,,147.9,147900
37,Zee Magic @UC8WD329DJWB2DTYLQTUpUuw,487,487000,-,South Africa,,146.1,146100
38,90 Second IQ Boosters @UCFLqqGVE_E8G3Sn-nhKmkAQ,472,472000,-,South Africa,,141.6,141600
39,Ramscomics @UCDjBqVmjUMFipzcINJbgOVQ,459,459000,2.90%,South Africa,,137.7,137700
40,WildEarth @UCV6HJBZD_hZcIX9JVJ3dCXQ,456,456000,-,South Africa,Video Gaming,136.8,136800
41,you belong @UCAVmHjQH2rGQ58MGEPlLSWA,455,455000,-,South Africa,,136.5,136500
42,MaroGamingStudio8k @UCSUcdHS_ZyQmqTgKXhJ3RxQ,450,450000,-,South Africa,,135,135000
43,MalaMala Game Reserve @UCry5EFdbEMavAhQZht_nVbw,437,437000,-,South Africa,Video Gaming,131.1,131100
44,Dj Maphorisa @UCFXyVm03fMlzI4B4sQkDtBA,424,424000,3.30%,South Africa,,127.2,127200
45,Jono Dry @UC1ez5vPW1WtzXLd1G18XI3w,411,411000,0.30%,South Africa,,123.3,123300
46,Mihlali N @UCWhkEFN9UXdV2zFFZvP7O0A,394,394000,2.40%,South Africa,,118.2,118200
47,TechNick @UCK81mcGq-hLp3oqYG6dOcaw,391,391000,0.50%,South Africa,Technology,117.3,117300
48,Mr. Bow @UCRuStbjeDvthcvGcr1XO82Q,384,384000,-,South Africa,,115.2,115200
49,IdolsSA @UCIqNOMtvwCM3vwFi38WvQ5g,381,381000,-,South Africa,,114.3,114300
50,SABC Education Shows @UCnHspqMx6eWIgCQfExI4Rdg,370,370000,-,South Africa,,111,111000
51,Sasenathi Studios @UCexgibQk1N1h5VILnh0lXTw,370,370000,2%,South Africa,Celebrity,111,111000
52,1 Magic @UCAG4-W08jyodx28VmG-xxMw,356,356000,-,South Africa,,106.8,106800
53,AfricaOnNetflix @UCzi3g9ade6lq-nGjShQOJJg,356,356000,-,South Africa,,106.8,106800
54,BOLO HOUSE MUSIC @UCZBIKNpYXxh-Hl7vf7swyLQ,348,348000,-,South Africa,,104.4,104400
55,Muslim Central @UCz4AXmFeSbi-0vPXI102Q5w,346,346000,-,South Africa,,103.8,103800
56,Kruger Park Sightings @UCYxhhlA-a4_9241xgN6_hdg,345,345000,-,South Africa,,103.5,103500
57,Skits By Sphe @UC7OJqnWqGY9GTXjYatkQEPQ,341,341000,0.60%,South Africa,,102.3,102300
58,Reinhardt Buhr @UCCD_GyqAJ2w5UpH9R4yIEjw,328,328000,-,South Africa,,98.4,98400
59,Cassper Nyovest @UCZsEDryBFbqJ_oeOZB__hNw,327,327000,-,South Africa,,98.1,98100
60,Gemini Blessed TV @UCwIa8TXPdIdczCTkgdGvlSQ,326,326000,-,South Africa,,97.8,97800
61,Sean Kitching @UC3oFJp8_9KniTt_31-GcQKA,319,319000,0.10%,South Africa,,95.7,95700
62,In Depth Cine @UCUodELQsFwF8dq0X-bK9FQQ,318,318000,-,South Africa,,95.4,95400
63,Cars.co.za @UCB-mfYAd3oJLEkoMxjRAxbg,314,314000,0.10%,South Africa,Automotive,94.2,94200
64,Anton Koen @UCDPicZC2OZKhd4ZhpeS1Mlw,312,312000,0.20%,South Africa,,93.6,93600
65,William Last KRM @UClHh8adR12eC41xCPPuBmBQ,311,311000,0.20%,South Africa,,93.3,93300
66,SamupertyZuluTV @UC7Zn__KZqh8QFA-PGnpJcOg,306,306000,0.90%,South Africa,,91.8,91800
67,United Oromia @UCG9iFxTnt5MapeJ0rz7AJFA,295,295000,-,South Africa,Celebrity Music,88.5,88500
68,Mafikizolo @UCqyuB-Y1zGRwO8wRNYGW92A,292,292000,16.40%,South Africa,,87.6,87600
69,RockSteady Creatives @UC-NUnxjx_g2Chj4riFdpDmw,288,288000,-,South Africa,,86.4,86400
70,We Love Africa @UCX80qmC9baw6HXrSjfybdmQ,284,284000,-,South Africa,,85.2,85200
71,Makhadzi @UCSyGLZWpjz1hsIUvwAu9gaQ,283,283000,2.30%,South Africa,,84.9,84900
72,Jack Bohloko @UCjOfF7d911dLcJWRavezk8A,279,279000,-,South Africa,,83.7,83700
73,Prince Kaybee @UCR7jIlutgJoNfcqq4GDoH2w,277,277000,-,South Africa,,83.1,83100
74,Showmax @UCrwTExTkzOhMYkisQRHC2rg,266,266000,-,South Africa,,79.8,79800
75,Mr JazziQ @UCAdL_OJQ8El-Yxye0FE4jeQ,263,263000,2.30%,South Africa,,78.9,78900
76,beautarie @UCkOpz7yI4B2BG9s0GhlHEYQ,261,261000,-,South Africa,,78.3,78300
77,Johan Swanepoel @UCBjwqkvxKq_acOSLRMgzp9g,256,256000,-,South Africa,,76.8,76800
78,Mpoomy Ledwaba @UC72Q1TW6NVbcpt604NgX5KQ,254,254000,-,South Africa,Music,76.2,76200
79,Cream Puff @UCVDPmj45l94H_bsum7mfnGw,254,254000,-,South Africa,,76.2,76200
80,Wild Africa Adventure Films @UCbgAsqAJYbNW3RdgIfjy67g,247,247000,-,South Africa,,74.1,74100
81,Built IRL @UC4gbCGiEov1VAcOFpfGKPiA,245,245000,-,South Africa,,73.5,73500
82,Kay Yarms @UCpEquK2QpZrwIFzxwnr9-Gg,244,244000,5.30%,South Africa,,73.2,73200
83,Inkabi Records @UCqQFGn61VFpAODl5ZLiCGKA,235,235000,7.50%,South Africa,,70.5,70500
84,Xhosanostra TV @UCTKqP0KbvbRlnGKzcwfrWAw,235,235000,2.70%,South Africa,,70.5,70500
85,Emotional reader @UCAIks49asygzUcmov8B10BQ,234,234000,-,South Africa,,70.2,70200
86,Mzansi Fresh Dancers @UCSWAzxal9yd3RH15d0a9nNw,232,232000,0.60%,South Africa,,69.6,69600
87,Game Drive Channel @UCMkrN4gjvV7zslL_Kl8tSCQ,231,231000,-,South Africa,,69.3,69300
88,MUTHALAND TV @UCCvzuJsuwojJnSQwmUKan4Q,230,230000,-,South Africa,,69,69000
89,DStv @UCgK0ISOrgUkitGvKo4c9Wfg,230,230000,-,South Africa,,69,69000
90,Lesiba Mothupi @UChCc2cTYSxDjUafGQSRmaDw,225,225000,0.40%,South Africa,,67.5,67500
91,Kusemek @UCUXL7_cdSqJiZn_XqMkUaww,223,223000,-,South Africa,,66.9,66900
92,Tio Yado Humorista Arte Tv @UC8mfwn3nN1_vRnJ1s1HWnEQ,222,222000,-,South Africa,,66.6,66600
93,Koko Records @UCO-NoPS5l1g1cvbqp8lYHpQ,217,217000,1%,South Africa,,65.1,65100
94,Woodshop Junkies @UCzHueSosfT92NUVmhrz7Hjw,217,217000,1%,South Africa,,65.1,65100
95,Sho Madjozi @UCkOVK-tMYtEITJkzsnm-uUg,215,215000,-,South Africa,,64.5,64500
96,Elaine @UCjA1wdpqvS6yxHVdV1rxedQ,214,214000,-,South Africa,,64.2,64200
97,Tekweni @UC3t8OVRjPKHowGxmTzxs6qA,213,213000,-,South Africa,,63.9,63900
98,Detormentis @UCL5MgQS6VbE9DOwi-R5Vh6w,210,210000,-,South Africa,,63,63000
99,Mindset @UC_ayO9NLpGuhCvxnWZ0KwYw,208,208000,-,South Africa,,62.4,62400
100,BET International @UCZslbJ9Nu1TS4y6kqEtERXg,207,207000,-,South Africa,,62.1,62100
